X,Y,Z
-0.361029,-0.126423,0.198543
-0.286223,-0.110531,0.089313
-0.185699,-0.084492,0.041917
-0.065874,-0.045258,0.080752
0.064063,0.006316,0.180089
0.193164,0.063345,0.277369
0.310232,0.114029,0.306258
0.405431,0.146206,0.232518
0.471518,0.152061,0.072425
0.504477,0.130002,-0.120391
0.5034,0.084448,-0.283895
0.469967,0.024639,-0.373529
0.407824,-0.037604,-0.375793
0.321927,-0.091526,-0.305693
0.217928,-0.13118,-0.194862
0.101891,-0.157045,-0.076929
-0.019363,-0.173613,0.024907
-0.137464,-0.182952,0.104188
-0.241847,-0.180814,0.169496
-0.320409,-0.161065,0.233784
-0.362261,-0.123914,0.301252
-0.361091,-0.080536,0.359835
-0.317205,-0.048847,0.384745
-0.237486,-0.039607,0.354588
-0.133112,-0.045228,0.267221
-0.01683,-0.043474,0.141601
0.098675,-0.012201,0.005013
0.201682,0.054007,-0.127696
0.282287,0.137261,-0.263966
0.33327,0.207593,-0.418653
0.350581,0.240749,-0.591407
0.333016,0.22925,-0.757407
0.281072,0.182852,-0.875854
0.196333,0.119217,-0.911879
0.082652,0.053688,-0.853699
-0.051847,-0.004313,-0.71112
-0.193637,-0.050005,-0.50638
-0.324984,-0.080762,-0.269763
-0.42816,-0.094501,-0.03712
-0.490194,-0.089645,0.157465
-0.505455,-0.065903,0.293009
-0.475822,-0.025201,0.371103
-0.408821,0.027207,0.413627
-0.31502,0.081724,0.443189
-0.205724,0.125138,0.462914
-0.091317,0.144591,0.453873
0.019505,0.133058,0.389298
0.119614,0.093652,0.257696
0.202665,0.040473,0.078863
0.262884,-0.005787,-0.100738
0.296254,-0.025508,-0.22796
0.301826,-0.008443,-0.268504
0.281705,0.040432,-0.225002
0.240146,0.100831,-0.136491
0.182649,0.143527,-0.061252
0.115755,0.142815,-0.048624
0.047509,0.089233,-0.113908
-0.013035,-0.004189,-0.230302
-0.058438,-0.104999,-0.339723
-0.085586,-0.174682,-0.380337
-0.096052,-0.185004,-0.315684
-0.094286,-0.129498,-0.149996
-0.084699,-0.026749,0.074971
-0.069748,0.086751,0.301358
-0.050492,0.171106,0.479746
-0.028318,0.2004,0.582727
-0.00614,0.174437,0.606755
0.011511,0.116723,0.565149
0.019684,0.060861,0.478843
0.015103,0.03128,0.36908
-0.001443,0.031015,0.251305
-0.023755,0.04627,0.130212
-0.04128,0.059189,0.000888
-0.04233,0.05796,-0.140247
-0.018557,0.040083,-0.283854
0.031782,0.008746,-0.405805
0.103671,-0.03147,-0.474987
0.186678,-0.074891,-0.467106
0.266158,-0.114274,-0.37612
0.324637,-0.143291,-0.216878
0.344587,-0.159337,-0.022505
0.312946,-0.163148,0.160843
0.226542,-0.156484,0.285109
